Molecules,SMILES,Ads.E,SELFIES,GroupSELFIES
mol59,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C(S)=C1),24.77,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][S][=C][Ring1][=Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0thiol][pop]
mol60,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C(O)=C1),23.35,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0hydroxly][pop]
mol61,C(N(CC))(C(O)=O)C(C1=CC(O)=C(O)C(C)=C1),25.68,[C][Branch1][Ring2][N][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],[C][Branch][N][:0ethyl][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0methyl][pop]
mol62,C(N(CC))(C(O)=O)C(C1=CC(O)=C(O)C(C#N)=C1),22.45,[C][Branch1][Ring2][N][C][C][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch2],[C][Branch][N][:0ethyl][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0cyano][pop]
mol63,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(Br)=C1),25.23,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Br][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0bromo][pop]
mol64,C(N)(C(O)=O)C(C1=C(Br)C(O)=C(O)C=C1),18.23,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][Br][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0bromo][pop]
mol65,C(C)(N)(C(O)=O)C(C1=CC(O)=C(O)C(Br)=C1),25.84,[C][Branch1][C][C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Br][=C][Ring1][=Branch2],[C][Branch][:0methyl][pop][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0bromo][pop]
mol66,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C)=C1),25.41,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0methyl][pop]
mol67,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(O)=C1),24.4,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0hydroxly][pop]
mol68,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(F)=C1),17.49,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][F][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0fluoro][pop]
mol69,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(Br)=C1),20.42,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Br][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0bromo][pop]
mol70,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C#N)=C1),18.17,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#N][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0cyano][pop]
mol71,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CN)=C1),20.92,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][N][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0aminomethyl][pop]
mol72,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(S)=C1),26.12,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][S][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0thiol][pop]
mol73,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(Cl)=C1),25.6,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][Cl][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0chloro ][pop]
mol74,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(C#N))=C1),19.89,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][C][#N][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0cyanomethyl][pop]
mol75,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(N)=C1),25.11,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][N][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0amino][pop]
mol76,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(O(C#N))=C1),19.65,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][O][C][#N][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0cyanate][pop]
mol77,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(O(C))=C1),25.18,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0methoxy][pop]
mol78,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CN)=C1),21.24,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][N][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0aminomethyl][pop]
mol79,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(SC)=C1),19.02,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][S][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0methylthio][pop]
mol80,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CC)=C1),24.56,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0ethyl][pop]
mol81,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C=O)),21.15,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0aldehyde][pop]
mol82,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(=O)C)),20.2,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=Branch1][C][=O][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0acetyl ][pop]
mol83,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(F)(F)(F))),17.21,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][F][Branch1][C][F][F],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0trifluoromethyl][pop]
mol84,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(C)(C)(C))),15.58,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Branch1][C][C][Branch1][C][C][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0tertButyl][pop]
mol85,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(O)),22.72,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0hydroxly][pop]
mol86,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(CO)),19.01,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0hydroxymethyl][pop]
mol87,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(CCl)),17.23,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][Cl],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0chloromethyl][pop]
mol88,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(OCF)),19.51,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][O][C][F],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0fluoromethoxy][pop]
mol89,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(S)),17.44,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][S],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0thiol][pop]
mol90,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(CF)),18.66,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][F],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0fluoromethyl][pop]
mol91,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(C#N))),25.32,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][C][#N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0cyanomethyl][pop]
mol92,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(Br)),24.1,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][Br],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0bromo][pop]
mol93,C(N)(C(O)=O)C(C1=C(F)C(O)=C(O)C=C1),17.02,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][C][F][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][=Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0fluoro][pop]
mol94,C(N)(C(O)=O)C(C1=C(C#N)C(O)=C(O)C=C1),18.03,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][#N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0cyano][pop]
mol95,C(N)(C(O)=O)C(C1=C([N+]([O-])=O)C(O)=C(O)C=C1),23.26,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0nitro][pop]
mol96,C(N)(C(O)=O)C(C1=C(O(C#N))C(O)=C(O)C=C1),18.65,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring2][O][C][#N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0cyanate][pop]
mol97,C(N)(C(O)=O)C(C1=C(CN)C(O)=C(O)C=C1),23.64,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0aminomethyl][pop]
mol98,C(N)(C(O)=O)C(C1=C(SC)C(O)=C(O)C=C1),24.13,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][S][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0methylthio][pop]
mol99,C(N)(C(O)=O)C(C1=C(CC)C(O)=C(O)C=C1),25.23,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0ethyl][pop]
mol100,C(N)(C(O)=O)C(C1=C(C=O)C(O)=C(O)C=C1),24.28,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][=O][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0aldehyde][pop]
mol101,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(OCF)=C1),17.93,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][O][C][F][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0fluoromethoxy][pop]
mol102,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(OC)=C1),25.63,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0methoxy][pop]
mol103,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(OCF)=C1),21.25,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][O][C][F][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0fluoromethoxy][pop]
mol104,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C([N+]([O-])=O)=C1),27.62,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][N+1][Branch1][C][O-1][=O][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0nitro][pop]
mol105,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(O(C#N))=C1),18.29,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][O][C][#N][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0cyanate][pop]
mol106,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C=O)=C1),20.61,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][=O][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0aldehyde][pop]
mol107,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(=O)C)=C1),24.12,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0acetyl ][pop]
mol108,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(F)(F)(F))=C1),17.8,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0trifluoromethyl][pop]
mol109,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CO)=C1),25.72,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][O][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0hydroxymethyl][pop]
mol110,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CCl)=C1),18.71,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][Cl][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0chloromethyl][pop]
mol111,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(SC)=C1),19.99,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][S][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0methylthio][pop]
mol112,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CF)=C1),17.32,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][F][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0fluoromethyl][pop]
mol113,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(C)(C)(C))=C1),17.84,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0tertButyl][pop]
