Molecules,SMILES,Ads.E,SELFIES,GroupSELFIES
mol114,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CC)=C1),24.74,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0ethyl][pop]
mol115,C(N)(C(O)=O)C(C1=C(C(=O)OC)C(O)=C(O)C=C1),19.21,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0ester][Ring1][:0methyl][pop][pop]
mol116,C(N)(C(O)=O)C(C1=C(C=C)C(O)=C(O)C=C1),16.49,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0ethenyl][pop]
mol117,C(N)(C(O)=O)C(C1=C(C#C)C(O)=C(O)C=C1),16.87,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring1][C][#C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0ethynyl][pop]
mol118,C(N)(C(O)=O)C(C1=C(C=CC)C(O)=C(O)C=C1),18.54,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring2][C][=C][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0alkene][Ring1][:0methyl][pop][pop]
mol119,C(N)(C(O)=O)C(C1=C(C#CC)C(O)=C(O)C=C1),19.72,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring2][C][#C][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0alkyne][Ring1][:0methyl][pop][pop]
mol120,C(N)(C(O)=O)C(C1=C(COC)C(O)=C(O)C=C1),18.03,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][Ring2][C][O][C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0methoxymethyl][pop]
mol121,C(N)(C(O)=O)C(C1=C(C(=O)Cl)C(O)=C(O)C=C1),16.5,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][Cl][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0acylChloride][pop]
mol122,C(N)(C(O)=O)C(C1=C(C(=O)N)C(O)=C(O)C=C1),21.31,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0carbamoyl][pop]
mol123,C(N)(C(O)=O)C(C1=C(C(O)=O)C(O)=C(O)C=C1),17.75,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0carboxyl][pop]
mol124,C(N)(C(O)=O)C(C1=C(C(C2=CC=CC=C2))C(O)=C(O)C=C1),18.09,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][#C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0benzyl][pop]
mol125,C(N)(C(O)=O)C(C1=C(CC(=O)(C2=CC=CC=C2))C(O)=C(O)C=C1),18.24,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][=C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][P],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0benzoylmethyl][pop]
mol126,C(N)(C(O)=O)C(C1=C(CO(C2=CC=CC=C2))C(O)=C(O)C=C1),21.68,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][S],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring1][:0phenoxymethyl][pop]
mol127,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(=O)OC)=C1),20.17,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0ester][Ring1][:0methyl][pop][pop]
mol128,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C=C)=C1),18.26,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][=C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0ethenyl][pop]
mol129,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C#C)=C1),17.14,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0ethynyl][pop]
mol130,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C=CC)=C1),20.17,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][=C][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0alkene][Ring1][:0methyl][pop][pop]
mol131,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C#CC)=C1),19.15,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][#C][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0alkyne][Ring1][:0methyl][pop][pop]
mol132,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(COC)=C1),20.45,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0methoxymethyl][pop]
mol133,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(=O)Cl)=C1),18.65,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][Cl][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0acylChloride][pop]
mol134,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(=O)N)=C1),18.89,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][N][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0carbamoyl][pop]
mol135,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(=O)O)=C1),18.45,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0carboxyl][pop]
mol136,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(C(C2=CC=CC=C2))=C1),18.44,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][#C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0benzyl][pop]
mol137,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CC(=O)(C2=CC=CC=C2))=C1),23.36,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0benzoylmethyl][pop]
mol138,C(N)(C(O)=O)C(C1=CC(O)=C(O)C(CO(C2=CC=CC=C2))=C1),17.29,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][S],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Ring2][:0phenoxymethyl][pop]
mol139,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(=O)OC)=C1),20.19,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][#Branch1][C][=Branch1][C][=O][O][C][=C][Ring1][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0ester][Ring1][:0methyl][pop][pop]
mol140,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C=C)=C1),18.18,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][=C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0ethenyl][pop]
mol141,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C#C)=C1),17.54,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][C][#C][=C][Ring1][#Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0ethynyl][pop]
mol142,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C=CC)=C1),20.33,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][=C][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0alkene][Ring1][:0methyl][pop][pop]
mol143,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C#CC)=C1),18.89,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][#C][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0alkyne][Ring1][:0methyl][pop][pop]
mol144,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(COC)=C1),20.24,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring2][C][O][C][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0methoxymethyl][pop]
mol145,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(=O)Cl)=C1),19.22,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][Cl][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0acylChloride][pop]
mol146,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(=O)N)=C1),19.39,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][N][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0carbamoyl][pop]
mol147,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(=O)O)=C1),18.45,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=Branch1][C][=Branch1][C][=O][O][=C][Ring1][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0carboxyl][pop]
mol148,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(C(C2=CC=CC=C2))=C1),18.79,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][#C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0benzyl][pop]
mol149,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CC(=O)(C2=CC=CC=C2))=C1),22.04,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][=C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][P],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0benzoylmethyl][pop]
mol150,C(N)(C(O)=O)C(O)(C1=CC(O)=C(O)C(CO(C2=CC=CC=C2))=C1),18.05,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][O][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][S],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol][Ring2][:0phenoxymethyl][pop]
mol151,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(=O)OC)),18.48,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=Branch1][C][=O][O][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0ester][Ring1][:0methyl][pop][pop]
mol152,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C=C)),18.69,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0ethenyl][pop]
mol153,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C#C)),17.03,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][#C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0ethynyl][pop]
mol154,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C=CC)),20.18,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=C][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0alkene][Ring1][:0methyl][pop][pop]
mol155,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C#CC)),14.01,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][#C][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0alkyne][Ring1][:0methyl][pop][pop]
mol156,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(COC)),20.37,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][O][C],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0methoxymethyl][pop]
mol157,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(=O)Cl)),15.46,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=Branch1][C][=O][Cl],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0acylChloride][pop]
mol158,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(=O)N)),16.83,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=Branch1][C][=O][N],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0carbamoyl][pop]
mol159,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(C(=O)O)),17.72,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][=Branch1][C][=O][O],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0carboxyl][pop]
mol160,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(CC2=CC=CC=C2)),18.82,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0benzyl][pop]
mol161,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(CC(=O)C2=CC=CC=C2)),20.91,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0benzoylmethyl][pop]
mol162,C(N)(C(O)=O)C(C1=CC(O)=C(O)C=C1(COC2=CC=CC=C2)),20.83,[C][Branch1][C][N][Branch1][=Branch1][C][Branch1][C][O][=O][C][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][:2Catechol][Branch][:0phenoxymethyl][pop]
mol163,C1=CC(O)=C(O)C=C1,12.96,[C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[:0Catechol]
mol164,C(CN)(C1=CC(O)=C(O)C=C1),22.86,[C][Branch1][Ring1][C][N][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0aminomethyl][pop][:2Catechol]
mol165,C(CN)(C1=CC(O)=C(O)C(O)=C1),18.91,[C][Branch1][Ring1][C][N][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][C][O][=C][Ring1][=Branch2],[C][Branch][:0aminomethyl][pop][:2Catechol][Ring2][:0hydroxly][pop]
mol166,C(N)(C(=O)O)C(O)(C1=CC(O)=C(O)C=C1),24,[C][Branch1][C][N][Branch1][=Branch1][C][=Branch1][C][=O][O][C][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0amino][pop][Branch][:0carboxyl][pop][C][Branch][:0hydroxly][pop][:2Catechol]
mol167,C(CN)(O)(C1=CC(O)=C(O)C=C1),22.92,[C][Branch1][Ring1][C][N][Branch1][C][O][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][=C][Ring1][Branch2],[C][Branch][:0aminomethyl][pop][Branch][:0hydroxly][pop][:2Catechol]
mol168,C(CN)(C1=CC(O)=C(O)C(OC)=C1),20.95,[C][Branch1][Ring1][C][N][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][Ring1][O][C][=C][Ring1][#Branch2],[C][Branch][:0aminomethyl][pop][:2Catechol][Ring2][:0methoxy][pop]
mol169,C(CN)(C1=CC(O)=C(O)C(OC(F)(F)(F))=C1),24.75,[C][Branch1][Ring1][C][N][C][=C][C][Branch1][C][O][=C][Branch1][C][O][C][Branch1][#Branch2][O][C][Branch1][C][F][Branch1][C][F][F][=C][Ring1][=N],[C][Branch][:0aminomethyl][pop][:2Catechol][Ring2][O][:0trifluoromethyl][pop]
mol170,C(CN)(C1=CC(=O)C(=O)C=C1),18.59,[C][Branch1][Ring1][C][N][C][=C][C][=Branch1][C][=O][C][=Branch1][C][=O][C][=C][Ring1][Branch2],[C][Branch][:0aminomethyl][pop][:2oBenzoquinone]
